det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,139116,190073,2077195,2406384
a,41309,32544,1571097,1644950
this,6387,3978,241464,251829
an,2696,948,132406,136050
one,1889,3915,112666,118470
every,453,3666,113815,117934
some,15206,33364,46494,95064
that,1842,931,44100,46873
each,1020,764,43500,45284
two,542,30975,11990,43507
all,2037,11533,23029,36599
another,505,1199,33119,34823
three,147,29129,4793,34069
any,2243,1912,24812,28967
five,150,24756,2607,27513
1,4046,583,21904,26533
no,2954,1434,19936,24324
four,95,21117,2653,23865
30,6119,8752,3835,18706
5,5765,8534,3671,17970
3,1221,10007,4901,16129
these,409,10903,3953,15265
10,2728,7609,4492,14829
16,71,11852,1938,13861
2,1273,6279,6229,13781
sixteen,6,12425,864,13295
6,6749,3260,2741,12750
8,6950,1813,2847,11610
six,188,8926,1510,10624
ten,664,6415,2281,9360
7,3989,2633,2704,9326
20,530,5464,2575,8569
4,974,4173,3127,8274
seven,160,6923,960,8043
15,707,3834,2426,6967
thirty,88,5763,1013,6864
what,265,356,5874,6495
2013,202,56,6176,6434
25,128,4234,1961,6323
9,2741,952,2625,6318
11,1389,851,3436,5676
which,296,292,5048,5636
12,999,1737,2689,5425
twenty,34,3912,776,4722
18,140,2808,1639,4587
eight,120,3647,745,4512
those,115,3210,953,4278
23,84,2477,1526,4087
28,28,2591,1358,3977
nine,102,2995,875,3972
24,29,2526,1342,3897
22,98,2076,1596,3770
26,32,2270,1448,3750
27,17,2334,1285,3636
29,25,2111,1222,3358
35,92,2255,820,3167
21,73,1626,1298,2997
13,91,1015,1714,2820
40,280,1900,637,2817
2014,91,31,2660,2782
14,92,1413,1229,2734
50,276,1520,932,2728
fifty,10,1958,749,2717
19,97,1420,1140,2657
twenty-six,2,2544,66,2612
both,262,873,1452,2587
17,73,1300,1210,2583
31,21,1643,867,2531
forty,16,1989,506,2511
32,18,1986,462,2466
45,455,1211,463,2129
33,8,1738,369,2115
twenty-four,1,2079,19,2099
fifteen,10,1543,469,2022
twelve,21,1164,786,1971
000,80,593,1293,1966
34,11,1448,384,1843
99,102,374,1280,1756
twenty-two,0,1701,31,1732
eleven,88,1032,526,1646
36,17,1282,329,1628
sixty,7,975,533,1515
9.0,5,43,1404,1452
38,18,1085,298,1401
eighteen,6,1077,233,1316
nineteen,2,1108,205,1315
thirteen,3,794,489,1286
60,70,872,335,1277
27th,8,1,1252,1261
37,5,1018,202,1225
2012,45,30,1127,1202
00,979,22,172,1173
39,15,855,260,1130
100,64,709,351,1124
million,36,491,561,1088
seventeen,2,906,179,1087
fourteen,1,771,272,1044
42,22,678,200,900
2011,39,22,829,890
43,4,643,184,831
29.00,1,279,452,732
39.99,2,103,594,699
hundred,42,482,173,697
41,0,539,141,680
55,30,445,197,672
2010,32,7,614,653
30.00,5,22,616,643
01,32,10,586,628
48,8,452,142,602
47,5,459,123,587
46,14,431,135,580
5000,13,539,22,574
200,43,200,325,568
2008,15,37,504,556