det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,139116,190073,2077195,2406384
a,41309,32544,1571097,1644950
mult,42763,302334,130970,476067
this,6387,3978,241464,251829
one,5935,4498,145003,155436
an,2696,948,132406,136050
every,453,3666,113815,117934
some,15206,33364,46494,95064
that,1842,931,44100,46873
each,1020,764,43500,45284
all,2037,11533,23029,36599
another,505,1199,33119,34823
any,2243,1912,24812,28967
no,2954,1434,19936,24324
these,409,10903,3953,15265
what,265,356,5874,6495
which,296,292,5048,5636
those,115,3210,953,4278
both,262,873,1452,2587
