det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,25097,34289,374734,434120
a,7452,5871,283431,296754
this,1152,717,43561,45430
an,486,171,23886,24543
one,340,706,20325,21371
every,81,661,20532,21274
some,2743,6018,8387,17148
that,332,167,7955,8454
each,184,137,7847,8168
two,97,5588,2163,7848
all,367,2080,4154,6601
another,91,216,5974,6281
three,26,5254,864,6144
any,404,344,4476,5224
five,27,4466,470,4963
1,729,105,3951,4785
no,532,258,3596,4386
four,17,3809,478,4304
30,1103,1578,691,3372
5,1040,1539,662,3241
3,220,1805,884,2909
these,73,1966,713,2752
10,492,1372,810,2674
16,12,2138,349,2499
2,229,1132,1123,2484
sixteen,1,2241,155,2397
6,1217,588,494,2299
8,1253,327,513,2093
six,33,1610,272,1915
ten,119,1157,411,1687
7,719,475,487,1681
20,95,985,464,1544
4,175,752,564,1491
seven,28,1248,173,1449
15,127,691,437,1255
thirty,15,1039,182,1236
what,47,64,1059,1170
2013,36,10,1114,1160
25,23,763,353,1139
9,494,171,473,1138
11,250,153,619,1022
which,53,52,910,1015
12,180,313,485,978
twenty,6,705,139,850
18,25,506,295,826
eight,21,657,134,812
those,20,579,171,770
23,15,446,275,736
28,5,467,244,716
nine,18,540,157,715
24,5,455,242,702
22,17,374,287,678
26,5,409,261,675
27,3,421,231,655
29,4,380,220,604
35,16,406,147,569
21,13,293,234,540
13,16,183,309,508
40,50,342,114,506
2014,16,5,479,500
14,16,254,221,491
50,49,274,168,491
fifty,1,353,135,489
19,17,256,205,478
twenty-six,0,458,11,469
both,47,157,261,465
17,13,234,218,465
31,3,296,156,455
forty,2,358,91,451
32,3,358,83,444
45,82,218,83,383
33,1,313,66,380
twenty-four,0,375,3,378
fifteen,1,278,84,363
twelve,3,209,141,353
000,14,106,233,353
34,1,261,69,331
99,18,67,230,315
twenty-two,0,306,5,311
eleven,15,186,94,295
36,3,231,59,293
sixty,1,175,96,272
9.0,0,7,253,260
38,3,195,53,251
eighteen,1,194,42,237
nineteen,0,199,36,235
thirteen,0,143,88,231
60,12,157,60,229
27th,1,0,225,226
37,0,183,36,219
2012,8,5,203,216
00,176,3,31,210
39,2,154,46,202
100,11,127,63,201
million,6,88,101,195
seventeen,0,163,32,195
fourteen,0,139,49,188
42,3,122,36,161
2011,7,3,149,159
43,0,115,33,148
29.00,0,50,81,131
39.99,0,18,107,125
hundred,7,86,31,124
41,0,97,25,122
55,5,80,35,120
2010,5,1,110,116
30.00,0,3,111,114
01,5,1,105,111
48,1,81,25,107
47,0,82,22,104
46,2,77,24,103
5000,2,97,3,102
200,7,36,58,101
2008,2,6,90,98
