det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,125,171,1873,2169
a,37,29,1417,1483
this,5,3,217,225
an,2,0,119,121
one,1,3,101,105
every,0,3,102,105
some,13,30,41,84
that,1,0,39,40
each,0,0,39,39
two,0,27,10,37
all,1,10,20,31
another,0,1,29,30
three,0,26,4,30
any,2,1,22,25
five,0,22,2,24
1,3,0,19,22
no,2,1,17,20
four,0,19,2,21
30,5,7,3,15
5,5,7,3,15
3,1,9,4,14
these,0,9,3,12
10,2,6,4,12
16,0,10,1,11
2,1,5,5,11
sixteen,0,11,0,11
6,6,2,2,10
8,6,1,2,9
six,0,8,1,9
ten,0,5,2,7
7,3,2,2,7
20,0,4,2,6
4,0,3,2,5
seven,0,6,0,6
15,0,3,2,5
thirty,0,5,0,5
what,0,0,5,5
2013,0,0,5,5
25,0,3,1,4
9,2,0,2,4
11,1,0,3,4
which,0,0,4,4
12,0,1,2,3
twenty,0,3,0,3
18,0,2,1,3
eight,0,3,0,3
those,0,2,0,2
23,0,2,1,3
28,0,2,1,3
nine,0,2,0,2
24,0,2,1,3
22,0,1,1,2
26,0,2,1,3
27,0,2,1,3
29,0,1,1,2
35,0,2,0,2
21,0,1,1,2
13,0,0,1,1
40,0,1,0,1
2014,0,0,2,2
14,0,1,1,2
50,0,1,0,1
fifty,0,1,0,1
19,0,1,1,2
twenty-six,0,2,0,2
both,0,0,1,1
17,0,1,1,2
31,0,1,0,1
forty,0,1,0,1
32,0,1,0,1
45,0,1,0,1
33,0,1,0,1
twenty-four,0,1,0,1
fifteen,0,1,0,1
twelve,0,1,0,1
000,0,0,1,1
34,0,1,0,1
99,0,0,1,1
twenty-two,0,1,0,1
36,0,1,0,1
9.0,0,0,1,1
27th,0,0,1,1
2012,0,0,1,1
