det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,2,2,30,34
a,0,0,32,32
mult,2,20,8,30
this,0,0,28,28
one,1,0,26,27
an,0,0,27,27
every,0,0,27,27
some,4,9,13,26
that,1,0,24,25
each,0,0,24,24
all,1,7,15,23
another,0,0,23,23
any,1,1,21,23
no,2,1,19,22
these,0,16,6,22
what,0,1,19,20
which,1,1,18,20
those,0,15,4,19
both,1,6,10,17
