det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,2046,2796,30560,35402
a,866,682,32938,34486
mult,2829,20004,8665,31498
this,759,473,28731,29963
one,1099,833,26869,28801
an,564,198,27718,28480
every,108,874,27154,28136
some,4417,9692,13507,27616
that,1018,514,24381,25913
each,581,435,24813,25829
all,1409,7978,15930,25317
another,365,867,23965,25197
any,1916,1633,21203,24752
