det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,119357,110609,1805536,2035502
a,19047,6451,859466,884964
this,13477,974,292730,307181
an,2918,353,160520,163791
any,10431,4224,62957,77612
that,2804,445,43169,46418
no,3603,1880,36751,42234
some,5279,6291,23716,35286
each,314,78,32225,32617
all,2273,10386,10245,22904
another,108,219,17896,18223
every,67,878,12991,13936
these,91,12200,1291,13582
what,664,521,5763,6948
those,34,5114,447,5595
which,318,274,4197,4789
both,235,1097,1514,2846
either,28,11,1783,1822
whatever,120,75,927,1122
neither,26,2,329,357
his/her,5,0,93,98
whichever,0,22,66,88
