det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,16051,14875,242815,273741
a,2561,867,115584,119012
this,1812,130,39367,41309
an,392,47,21587,22026
any,1402,568,8466,10436
that,377,59,5805,6241
no,484,252,4942,5678
some,709,846,3189,4744
each,42,10,4333,4385
all,305,1396,1377,3078
another,14,29,2406,2449
every,9,118,1747,1874
these,12,1640,173,1825
what,89,70,775,934
those,4,687,60,751
which,42,36,564,642
both,31,147,203,381
either,3,1,239,243
whatever,16,10,124,150
neither,3,0,44,47
his/her,0,0,12,12
whichever,0,2,8,10
