det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,408,378,6175,6961
a,141,47,6373,6561
this,265,19,5770,6054
an,102,12,5639,5753
any,725,293,4377,5395
that,311,49,4789,5149
no,435,227,4441,5103
some,750,894,3372,5016
each,47,11,4920,4978
all,477,2181,2152,4810
another,27,56,4617,4700
every,21,288,4262,4571
these,30,4096,433,4559
what,405,317,3516,4238
those,25,3780,330,4135
which,269,232,3559,4060
