det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,20,18,308,346
a,7,2,318,327
this,13,0,288,301
an,5,0,281,286
any,36,14,218,268
that,15,2,239,256
no,21,11,222,254
some,37,44,168,249
each,2,0,246,248
all,23,109,107,239
another,1,2,230,233
every,1,14,213,228
these,1,204,21,226
what,20,15,175,210
those,1,189,16,206
which,13,11,177,201
both,15,73,101,189
either,2,1,176,179
whatever,17,11,139,167
neither,10,0,129,139
