det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,38,28,555,621
a,6,1,247,254
an,1,0,46,47
this,0,0,26,26
that,0,0,6,6
no,0,0,5,5
any,0,0,5,5
another,0,0,5,5
each,0,0,4,4
some,0,1,2,3
all,0,1,1,2
every,0,0,2,2
these,0,2,0,2
