det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,389,287,5555,6231
a,63,13,2477,2553
an,13,2,461,476
this,7,1,269,277
that,1,0,66,67
no,7,2,54,63
any,3,3,57,63
another,1,0,56,57
each,0,0,45,45
some,4,10,27,41
all,3,16,14,33
every,0,2,29,31
these,0,22,1,23
both,1,2,5,8
which,0,0,7,7
those,0,3,1,4
