det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,1945,1439,27779,31163
a,316,69,12386,12771
an,66,11,2306,2383
this,36,6,1345,1387
that,6,3,334,343
no,35,14,274,323
any,15,15,287,317
another,5,3,280,288
each,3,2,227,232
some,24,52,135,211
all,17,82,70,169
every,0,12,149,161
these,0,110,8,118
both,5,12,25,42
which,1,2,38,41
those,0,19,6,25
